bike_type,started_at,ended_at,start_station_name,end_station_name,customer_type,trip_duration,month,hour,day_start,season,weekend,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,condition
Electric Bike,09/07/2022 16:58:14,09/07/2022 17:13:55,Shore Dr & 55th St,Lake Park Ave & 35th St,Member,"15,68333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:40:41,09/07/2022 16:52:45,Troy St & North Av,Western Ave & Walton St,Casual,"12,06666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:06:07,09/07/2022 16:30:56,Wood St & Chicago Av,Federal St & Polk St,Casual,"24,81666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:29:19,09/07/2022 16:33:27,Leavitt St & Armitage Av,Leavitt St & North Av,Member,"4,133333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:25:56,09/07/2022 16:34:31,Not Available,Greenview Ave & Diversey Pkwy,Member,"8,583333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:59:06,09/07/2022 17:19:12,Wilton Ave & Belmont Av,Leavitt St & Belmont Av,Casual,"20,1",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:25:12,09/07/2022 16:33:22,Millennium Park,Federal St & Polk St,Member,"8,166666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:34:21,09/07/2022 16:47:05,Delano Ct & Roosevelt Rd,Racine Ave & 18th St,Casual,"12,73333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:13:23,09/07/2022 16:27:16,Ashland Ave & Grand Av,Racine Ave & 18th St,Member,"13,88333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:04:29,09/07/2022 16:17:52,Aberdeen St & Jackson Blvd,Green St & Randolph St,Casual,"13,38333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:28:01,09/07/2022 16:40:31,Damen Ave & Cortland St,California Ave & Francis Pl,Member,"12,5",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:54:42,09/07/2022 17:01:50,Clark St & Ida B Wells Dr,Daley Center Plaza,Member,"7,133333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:09:39,09/07/2022 16:37:31,Theater on the Lak,DuSable Lake Shore Dr & Monroe St,Casual,"27,86666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:42:22,09/07/2022 16:51:10,Not Available,Not Available,Member,"8,8",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:04:17,09/07/2022 16:15:37,Pine Grove Ave & Irving Park Rd,Clark St & Winnemac Av,Member,"11,33333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:06:05,09/07/2022 16:49:58,Lakefront Trail & Bryn Mawr Av,Lincoln Ave & Balmoral Av,Casual,"43,88333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:38:13,09/07/2022 17:05:31,Larrabee St & Webster Av,Damen Ave & Melrose Av,Casual,"27,3",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:42:46,09/07/2022 16:57:31,Not Available,Not Available,Casual,"14,75",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:49:48,09/07/2022 16:51:08,Larrabee St & Division St,Larrabee St & Division St,Casual,"1,333333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:18:35,09/07/2022 16:37:02,Clark St & Drummond Pl,Dearborn St & Erie St,Member,"18,45",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:11:03,09/07/2022 16:25:43,Not Available,McClurg Ct & Ohio St,Member,"14,66666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:08:30,09/07/2022 16:20:16,Clark St & Schiller St,Clark St & Chicago Av,Member,"11,76666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:38:49,09/07/2022 16:52:46,Wood St & Milwaukee Av,California Ave & Francis Pl,Member,"13,95",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:47:49,09/07/2022 16:57:38,Theater on the Lak,Wells St & Concord Ln,Casual,"9,816666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:04:27,09/07/2022 16:23:14,Theater on the Lak,Dusable Harbor,Member,"18,78333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:50:35,09/07/2022 17:12:28,Fairbanks Ct & Grand Av,DuSable Lake Shore Dr & Monroe St,Casual,"21,88333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:25:08,09/07/2022 17:05:22,Not Available,Fairbanks Ct & Grand Av,Casual,"40,23333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:40:33,09/07/2022 17:05:15,Larrabee St & Webster Av,Damen Ave & Melrose Av,Casual,"24,7",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:54:22,09/07/2022 16:58:13,Ashland Ave & Blackhawk St,Not Available,Casual,"3,85",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:48:07,09/07/2022 17:10:40,Theater on the Lak,Dusable Harbor,Member,"22,55",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:25:51,09/07/2022 16:29:25,Clark St & Schreiber Av,Clark St & Columbia Av,Member,"3,566666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:11:49,09/07/2022 16:22:24,Damen Ave & Wellington Av,California Ave & Milwaukee Av,Member,"10,58333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:32:27,09/07/2022 17:03:37,Stockton Dr & Wrightwood Av,Michigan Ave & 8th St,Casual,"31,16666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Classic Bike,09/07/2022 16:08:39,09/07/2022 16:38:35,Halsted St & Polk St,Dusable Harbor,Casual,"29,93333333",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
Electric Bike,09/07/2022 16:29:29,09/07/2022 17:01:09,Streeter Dr & Grand Av,Dusable Harbor,Casual,"31,66666667",7,16,Saturday,Summer,TRUE,"25,1","25,1","11,6","42,87",0,0,0,0,"23,7",21,"1021,1",18,16,Clear Day
